Carta=Allmageddon | Tipo=Attack | Set=DOP | EfeitoOficial=Sem texto de habilidade impresso. | Funcionamento=Ataque sem texto adicional: aplica apenas os danos impressos (base/elementais) na resolução do ataque. | Dano={base:10,fire:10,water:10,air:10,earth:10,mugic:0,adicional:N/A,janela:resolucao_do_ataque} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:N/A,combate:N/A,alvo:N/A} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=instantaneo,durante_combate | TriggerExato=durante_resolucao_do_ataque | Alvos=criaturas_engajadas | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=instantaneo
Carta=Cascade Symphony | Tipo=Mugic | Set=DOP | EfeitoOficial=Damage dealt to target Creature by Fire or Air attacks is reduced by 5. (An attack which is both Fire and Air is still reduced by 5.) | Funcionamento=Efeito oficial: "Damage dealt to target Creature by Fire or Air attacks is reduced by 5. (An attack which is both Fire and Air is still reduced by 5.)". Em regras, resolve na janela definida pelo texto, gerando: incomingDamageReduction. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:incomingDamageReduction:5,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:fire,air,disciplina:N/A,combate:interacao_com_ataque,alvo:creature:all} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=continuo | TriggerExato=passivo_continuo_ou_condicional | Alvos=creature:all | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:altera_regras_de_alvo,iniciativa:N/A,ataques:altera_ataques,dano:altera_dano,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=escolha_de_alvo | Duracao=continuo_enquanto_fonte_valida
Carta=Castle Bodhran | Tipo=Location | Set=DOP | EfeitoOficial=At the beginning of combat, each player can return a Mugic Card from their general discard pile to their hand. | Funcionamento=Efeito oficial: "At the beginning of combat, each player can return a Mugic Card from their general discard pile to their hand.". Em regras, resolve no início do combate, gerando: returnFromDiscard. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:inicio_do_combate} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:mugic,combate:inicio_do_combate,alvo:jogadores:ambos} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:sim,passivo:sim,sem_custo:nao} | Classificacao=ativo,triggered | TriggerExato=beginning_of_combat | Alvos=jogadores:ambos | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:N/A,battlegear:N/A,mugic:afeta_mugic,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=descartar,aplicacao_automatica_simetrica | Duracao=conforme_texto_da_carta
Carta=Castle Pillar | Tipo=Location | Set=DOP | EfeitoOficial=At the beginning of combat, if an engaged Creature has higher Wisdom than the opposing engaged Creature, put a Mugic counter on it. | Funcionamento=Efeito oficial: "At the beginning of combat, if an engaged Creature has higher Wisdom than the opposing engaged Creature, put a Mugic counter on it.". Em regras, resolve no início do combate, gerando: beginCombatMugicCounterHigherStat. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:inicio_do_combate} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:wisdom,mugic,combate:inicio_do_combate,alvo:creature:opponent, creature:opposing_engaged, creature:engaged} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=triggered | TriggerExato=beginning_of_combat | Alvos=creature:opponent, creature:opposing_engaged, creature:engaged | Modificacoes={elementos:N/A,disciplinas:altera_disciplinas,energy:N/A,keywords:N/A,battlegear:N/A,mugic:afeta_mugic,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=conforme_texto_da_carta
Carta=Chaor | Tipo=Creature | Set=DOP | EfeitoOficial=MCMCMC: Negate target OverWorld Mugic or ability that targets Chaor. | Funcionamento=Efeito oficial: "MCMCMC: Negate target OverWorld Mugic or ability that targets Chaor.". Em regras, resolve na janela definida pelo texto, gerando: negateMugic. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:mugic,combate:N/A,alvo:mugic:all} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=passivo | TriggerExato=passivo_continuo_ou_condicional | Alvos=mugic:all | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:N/A,battlegear:N/A,mugic:afeta_mugic,habilidades:N/A,targeting:altera_regras_de_alvo,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=escolha_de_alvo | Duracao=conforme_texto_da_carta
Carta=Chorus of the Hive | Tipo=Mugic | Set=DOP | EfeitoOficial=Activate Hive. | Funcionamento=Efeito oficial: "Activate Hive.". Em regras, resolve na janela definida pelo texto, gerando: activateHive. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:N/A,combate:N/A,alvo:N/A} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=passivo | TriggerExato=passivo_continuo_ou_condicional | Alvos=N/A | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:concede/remove_keywords,battlegear:N/A,mugic:N/A,habilidades:altera_habilidades,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=conforme_texto_da_carta
Carta=Coil Crush | Tipo=Attack | Set=DOP | EfeitoOficial=Stat Check Power 75: Choose a Battlegear equipped to an opposing Creature and destroy it. | Funcionamento=Efeito oficial: "Stat Check Power 75: Choose a Battlegear equipped to an opposing Creature and destroy it.". Em regras, resolve na resolução do ataque, gerando: destroyBattlegearIfAttackerStatGte. | Dano={base:5,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:resolucao_do_ataque} | Condicoes={stat_check:Power 75,challenge:N/A,elemento:N/A,disciplina:power,combate:N/A,alvo:battlegear:opponent, battlegear:target} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=instantaneo,durante_combate | TriggerExato=durante_resolucao_do_ataque | Alvos=battlegear:opponent, battlegear:target | Modificacoes={elementos:N/A,disciplinas:altera_disciplinas,energy:N/A,keywords:N/A,battlegear:afeta_battlegear,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:altera_ataques,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=escolha_de_alvo | Duracao=instantaneo
Carta=Cordac Falls | Tipo=Location | Set=DOP | EfeitoOficial=At the beginning of combat, engaged Creatures gains 5 Energy. | Funcionamento=Efeito oficial: "At the beginning of combat, engaged Creatures gains 5 Energy.". Em regras, resolve no início do combate, gerando: beginCombatEnergy. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:inicio_do_combate} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:energy,combate:inicio_do_combate,alvo:creature:self, creature:engaged} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=triggered,continuo | TriggerExato=beginning_of_combat | Alvos=creature:self, creature:engaged | Modificacoes={elementos:N/A,disciplinas:N/A,energy:altera_energy,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=continuo_enquanto_fonte_valida
Carta=Cordac Falls Plungepool | Tipo=Location | Set=DOP | EfeitoOficial=At the beginning of combat, deal 5 damage to engaged Creatures. | Funcionamento=Efeito oficial: "At the beginning of combat, deal 5 damage to engaged Creatures.". Em regras, resolve no início do combate, gerando: beginCombatDamage. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:inicio_do_combate} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:N/A,combate:inicio_do_combate,alvo:creature:self, creature:engaged} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=triggered | TriggerExato=beginning_of_combat | Alvos=creature:self, creature:engaged | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:altera_dano,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=conforme_texto_da_carta
Carta=Crawsectus | Tipo=Creature | Set=DOP | EfeitoOficial=Earth 5. | Funcionamento=Efeito oficial: "Earth 5.". Em regras, resolve na janela definida pelo texto, gerando: elementModifier. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:earth,disciplina:N/A,combate:N/A,alvo:N/A} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=passivo | TriggerExato=passivo_continuo_ou_condicional | Alvos=N/A | Modificacoes={elementos:concede/remove/modifica_elementos,disciplinas:N/A,energy:N/A,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=conforme_texto_da_carta
Carta=Crystal Cave | Tipo=Location | Set=DOP | EfeitoOficial=If an engaged Creature has lower Speed than the opposing engaged Creature, it deals 0 damage on its first attack each combat. | Funcionamento=Efeito oficial: "If an engaged Creature has lower Speed than the opposing engaged Creature, it deals 0 damage on its first attack each combat.". Em regras, resolve na janela definida pelo texto, gerando: firstAttackZeroIfLower. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:speed,combate:interacao_com_ataque,alvo:creature:opponent, creature:opposing_engaged, creature:engaged} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=passivo | TriggerExato=passivo_continuo_ou_condicional | Alvos=creature:opponent, creature:opposing_engaged, creature:engaged | Modificacoes={elementos:N/A,disciplinas:altera_disciplinas,energy:N/A,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:altera_ataques,dano:altera_dano,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=ate_fim_do_combate_ou_por_combate
Carta=Cyclance | Tipo=Battlegear | Set=DOP | EfeitoOficial=Sacrifice Cyclance: equipped Creature gains Air until the end of combat. | Funcionamento=Efeito oficial: "Sacrifice Cyclance: equipped Creature gains Air until the end of combat.". Em regras, resolve quando o custo é pago e a habilidade resolve, gerando: gainElement. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:quando_habilidade_e_ativada} | Condicoes={stat_check:N/A,challenge:N/A,elemento:air,disciplina:N/A,combate:N/A,alvo:N/A} | Custos={mc:0,ativacao:Sacrifice Cyclance,sacrificio:sim,descarte:nao,passivo:nao,sem_custo:nao} | Classificacao=ativo,continuo | TriggerExato=activated_ability | Alvos=N/A | Modificacoes={elementos:concede/remove/modifica_elementos,disciplinas:N/A,energy:N/A,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=continuo_enquanto_fonte_valida
